genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
korean electropop,0.2891379310344828,0.7135,282022.06896551716,0.6883965517241379,0.3113163408620689,0.18226896551724145,-8.941206896551723,0.07556379310344828,121.50344827586208,0.383448275862069,15.103448275862071,1,1
korean indie rock,0.01292,0.6735,226897.75,0.7482500000000001,0.018750000000000003,0.3699,-4.6375,0.060875,128.97825,0.8132499999999999,3.0,10,0
korean mask singer,0.23800000000000002,0.6579999999999999,199027.0,0.7490000000000001,2.03e-06,0.272,-2.967,0.0634,128.909,0.442,78.0,9,0
korean ost,0.6361666666666667,0.5011666666666666,246538.0,0.62,0.0,0.2775,-5.0615,0.056683333333333336,149.13466666666667,0.35250000000000004,8.333333333333334,10,1
korean pop,0.3941077659979104,0.6060986363636364,259620.58218390806,0.5802992998955071,0.0443891702477534,0.24190085057471264,-8.0554826123302,0.06318067920585166,113.09333813479624,0.4525398620689656,26.99554858934169,9,1
korean r&b,0.3971929968810917,0.5836019493177389,237821.54639376214,0.6199099415204677,0.07805238996101366,0.2006189083820663,-6.869711306042883,0.1194010916179338,118.00093333333334,0.4208294346978557,44.34990253411306,8,1
korean trap,0.13828533333333334,0.7346666666666666,209793.0,0.6920000000000001,7.0566666666666655e-06,0.12236666666666668,-5.099000000000001,0.19566666666666666,132.34466666666665,0.626,35.0,2,1
koto,0.8895,0.4956666666666667,461817.83333333326,0.12433333333333332,0.6029800000000001,0.09008333333333332,-19.911333333333328,0.13510000000000005,101.3305,0.3119833333333334,15.5,7,0
krautrock,0.5413841774891774,0.3724657575757576,373821.1722943723,0.3906235714285715,0.7434755948051948,0.20193512987012988,-15.5742987012987,0.05046101731601731,120.8487971861472,0.2725848051948052,25.5030303030303,2,1
kundiman,0.5873000000000002,0.6399666666666666,196793.1833333333,0.3569416666666666,0.11354083866666667,0.22147333333333333,-13.690333333333333,0.041555000000000016,125.50498333333331,0.7859166666666666,35.88333333333333,0,1
la indie,0.2254174028693529,0.5670036324786325,226342.96144688645,0.6673382478632478,0.11276374918498168,0.17616690781440786,-7.4442958180708185,0.04482386446886447,127.84381291208791,0.4728259157509159,51.221062271062266,10,1
la pop,0.18222156666666667,0.4944595238095237,227937.6833333333,0.6481511904761905,0.001966367797619048,0.24103511904761898,-7.0581773809523805,0.09423809523809523,137.68272023809527,0.3194442857142857,50.07142857142857,11,1
laboratorio,0.7005231348988977,0.4393427032307468,265105.6496238133,0.3159781492056751,0.3570534464517073,0.17972122471003418,-16.529819511432322,0.057244535123692736,103.94608617234074,0.35784553634249155,28.351882685216022,5,1
lafayette indie,0.009107111111111113,0.8353333333333333,233059.88888888888,0.5896666666666667,0.004845555555555556,0.09744444444444443,-8.906666666666668,0.057866666666666663,118.32455555555555,0.6472222222222223,19.44444444444445,10,0
laiko,0.746866153400203,0.5737830757207579,197634.80253796602,0.4729951848985903,0.18689220459222,0.17076274314417927,-10.297629184190887,0.046891113876781215,117.19030505952057,0.6522691644042469,19.604914173843124,7,0
lancaster pa indie,0.127546,0.5110999999999999,261546.6,0.5780000000000001,0.01436732,0.1729,-13.1133,0.06956000000000001,108.46149999999996,0.3234,32.6,5,1
late romantic era,0.9080645110733844,0.3136850659255496,335759.5383899479,0.21090076627859844,0.4992117547864264,0.20919571868433606,-18.497545982735488,0.05648272934114204,101.76604834449854,0.23303735573155715,8.771214449572916,7,1
latin,0.28337910785920123,0.6826454993756619,246481.7039349103,0.6853391368991688,0.03713330700959222,0.18633445094881929,-7.167930645280326,0.08006033847233365,122.19184216097936,0.6618231782878644,49.136170687613976,2,1
latin afrobeat,0.2455615,0.7149399999999999,254040.465,0.622965,0.008006761,0.2563995,-9.10418,0.1066665,117.67547499999998,0.652215,52.815,7,1
latin alternative,0.21375803368255572,0.6186606054662326,254280.87943676,0.6619348321070686,0.0713900224143834,0.1931677094721969,-8.707553039526355,0.05644692811541398,122.88043184745537,0.6290597917753694,52.96278527513588,9,1
latin american classical piano,0.9809391579807891,0.3587532801961986,374112.3882076434,0.1191890202329859,0.8737254240752096,0.1050541446965052,-24.07002628244431,0.0422421929286736,103.48307257306357,0.18639474964234626,25.872307377886774,9,1
latin arena pop,0.31114484282136257,0.5893346810036479,247684.92349347746,0.6134799127814741,0.021695759544087933,0.2052711946187337,-7.776155740799379,0.04931189741332075,128.30816416127524,0.5069195219990381,54.73859200473024,2,1
latin christian,0.4008326055027315,0.5046627563904349,315101.2330801639,0.5198404742578849,0.02092455294883786,0.2971136787518036,-8.761484183673469,0.038581269325912174,120.25447828862605,0.3739835658884766,43.02212301587302,7,1
latin classical,0.8068962745098041,0.4737464529914529,223886.43176805766,0.2874854894419305,0.4796689707437908,0.12686144427685606,-17.72859073152338,0.05549534397519691,115.02829874308695,0.4529177461873638,18.09779286073404,7,1
latin funk,0.14731,0.7637499999999999,242053.25,0.8865000000000001,0.004075,0.11534999999999998,-5.15275,0.06755,115.925,0.83375,56.0,7,1
latin hip hop,0.18525397656642814,0.7398221480179599,270395.7638786713,0.7275174319057287,0.035811793810353265,0.2056666488902532,-6.794445883900522,0.1279142721195086,114.87052895826805,0.6704172163608555,48.03645335958891,1,1
latin house,0.02280833333333333,0.7394416666666667,467727.8,0.871175,0.4967928975,0.11583416666666665,-8.599874999999999,0.05703083333333332,126.03700833333332,0.4434666666666667,10.15,7,1
latin jazz,0.6087010934352243,0.6319576061051375,261267.78790374895,0.6048649287795778,0.17303335496160616,0.18261125249105253,-9.133303990652452,0.059285838005233085,114.13108343214216,0.7918263749664617,30.94665863750584,7,1
latin metal,0.13916096700216452,0.5172316017316018,273045.08116883115,0.7070622294372294,0.11220251255411257,0.17168755411255412,-7.833924783549785,0.0963133658008658,120.38802976190478,0.3755325757575757,39.591991341991346,4,1
latin pop,0.3154451731432808,0.6258776649978174,235582.32091251103,0.6388343340153539,0.031159746180748776,0.18672910552252825,-8.138647770988516,0.05912139417375484,121.62835430810327,0.5992508437093388,49.54511755105953,2,1
latin rock,0.22151456497688785,0.6123391833304849,261235.92400212487,0.6558710071242829,0.09742851807438066,0.19117606032829434,-8.957165056840289,0.05358246525909555,122.86757432338315,0.6038399582475508,51.50090779390138,7,1
