,artists,years of career,song count
339,Papa Roach,10,16
340,Allman Brothers Band,10,114
341,Amirbai Karnataki,10,102
342,LL Cool J,10,37
343,Billy Idol,10,35
344,"Waylon Jennings', 'Willie Nelson",10,29
345,Smokey Robinson,10,26
346,Vangelis,10,32
347,José Feliciano,10,21
348,Dave Matthews Band,10,56
349,Chayanne,10,28
350,"Billie Holiday', 'Teddy Wilson",10,197
351,Little River Band,10,28
352,Tito Puente,10,35
353,Raffi,10,109
354,Buddy Holly,10,52
355,Walter Wanderley,10,46
356,Drake,10,93
357,Lead Belly,10,337
358,Serge Gainsbourg,10,49
359,Gerry Mulligan,10,28
360,Judas Priest,10,124
361,P!nk,10,27
362,John Anderson,10,24
363,The Ray Conniff Singers,10,30
364,blink-182,10,82
365,Leo Dan,10,25
366,Banda MS de Sergio Lizárraga,10,21
367,Phish,10,36
368,Ry Cooder,10,22
369,Frankie Ruiz,10,38
370,John Lee Hooker,10,55
371,Talking Heads,10,169
372,Jim Reeves,10,40
373,Jackie Gleason,10,139
374,Bo Diddley,10,44
375,Patrick Hunt,10,10
376,Gilberto Santa Rosa,10,18
377,Curtis Mayfield,10,80
378,Robert Palmer,10,26
379,Nick Cave & The Bad Seeds,10,18
380,Dusty Springfield,10,36
381,Fela Kuti,10,25
382,Bad Religion,10,78
383,Françoise Hardy,10,41
384,Los Ángeles Azules,10,22
385,Carole King,10,45
386,"Ludwig van Beethoven', 'Rudolf Serkin",10,86
387,The Ventures,10,92
388,Britney Spears,10,38
389,Duran Duran,10,79
390,UB40,10,36
391,Joe Walsh,10,42
392,Dierks Bentley,10,20
393,Taj Mahal,10,32
394,Townes Van Zandt,10,101
395,"The Clancy Brothers', 'Tommy Makem",10,53
396,Bette Midler,10,28
397,Dan Fogelberg,10,55
398,Rihanna,10,46
399,Boz Scaggs,10,35
400,Jack Johnson,10,45
401,The Byrds,10,115
402,Jerry Goldsmith,10,18
403,Jerry Reed,10,31
404,Randy Newman,10,40
405,The J. Geils Band,10,38
406,Al Green,10,70
407,Otis Redding,10,147
408,Air Supply,10,29
409,Supertramp,9,96
410,Jason Aldean,9,33
411,Nancy Wilson,9,48
412,"Lata Mangeshkar', 'Kishore Kumar",9,12
413,Mötley Crüe,9,79
414,Flatt & Scruggs,9,77
415,Sonora Ponceña,9,24
416,Loretta Lynn,9,32
417,Blur,9,20
418,Sandhya Mukherjee,9,24
419,Boyz II Men,9,37
420,Los Enanitos Verdes,9,25
421,Jackie Wilson,9,41
422,Selena Gomez,9,14
423,Slayer,9,75
424,Gilberto Gil,9,13
425,Odetta,9,43
426,Lou Rawls,9,12
427,"Emerson, Lake & Palmer",9,30
428,Led Zeppelin,9,326
429,Willie Colón,9,11
430,Shirley Bassey,9,26
431,Teddy Pendergrass,9,30
432,Sitara,9,33
433,Jacky Cheung,9,15
434,Johnny Rivers,9,25
435,Damia,9,17
436,Brenda Lee,9,72
437,Gary Allan,9,17
438,Parliament,9,46
439,Song a Day,9,25
440,Jimmy Smith,9,28
441,Patti Page,9,48
442,Daft Punk,9,38
443,Brian Eno,9,75
444,38 Special,9,39
445,Stevie Ray Vaughan,9,106
446,Kelly Clarkson,9,24
447,The Supremes,9,69
448,Johnny Horton,9,64
449,Todd Rundgren,9,50
450,The Marshall Tucker Band,9,50
451,Justin Bieber,9,44
452,Korn,9,71
453,Paul Anka,9,29
454,Wilson Pickett,9,31
455,Pepe Aguilar,9,18
456,Bonnie Raitt,9,54
457,Survivor,9,33
458,Beastie Boys,9,88
459,Meat Loaf,9,26
460,Burl Ives,9,55
461,Patsy Cline,9,38
462,Robin Trower,9,104
463,Trisha Yearwood,9,16
464,Europe,9,20
465,Frank Zappa,9,80
466,The Offspring,9,53
467,Daddy Yankee,9,81
468,Sonny & Cher,9,24
469,Ohio Players,9,32
470,The Oak Ridge Boys,9,34
471,DMX,9,39
472,Jerry Jeff Walker,9,38
473,Merle Haggard & The Strangers,9,13
474,Orchestral Manoeuvres In The Dark,9,32
475,Dwight Yoakam,9,43
476,Sarah McLachlan,9,26
477,Vince Gill,9,27
478,Black Eyed Peas,9,28
479,Stellakis Perpiniadis,9,61
480,Roy Orbison,9,88
481,Banda Machos,9,42
482,Roxette,9,21
483,Rosemary Clooney,9,24
484,Roxy Music,9,57
485,Simon & Garfunkel,9,105
486,John Fahey,9,48
487,Michael W. Smith,9,30
488,Hans Zimmer,9,21
489,Lionel Hampton,9,14
490,Pat Metheny Group,9,33
491,The Jacksons,9,34
492,Cardenales De Nuevo León,9,17
493,Sun Ra,9,33
494,Demi Lovato,9,27
495,Maroon 5,9,53
496,Tanya Tucker,9,28
497,Robert Goulet,9,20
498,Insane Clown Posse,9,29
499,Marilyn Manson,9,55
500,Seals and Crofts,9,30
501,Michael Bolton,9,26
502,Dhananjay Bhattacharya,9,20
503,Bill Evans Trio,9,157
504,Enya,9,71
505,Grupo Ladron,9,16
506,Ray Charles,9,94
507,Tina Turner,9,30
508,Khursheed Bano,9,48
509,Tangerine Dream,9,20
510,Miley Cyrus,9,33
511,Elmer Bernstein,9,11
512,Cocteau Twins,9,72
513,Heart,9,49
514,Unspecified,9,210
515,Antônio Carlos Jobim,9,50
516,Bobby Vinton,9,60
517,Ricardo Arjona,9,42
518,America,9,46
519,Usher,9,31
520,Eric Church,9,38
521,Eddie Rabbitt,9,18
522,Nelson Riddle,9,38
523,Peter Frampton,9,34
524,TOTO,9,44
525,XTC,9,46
526,Janet Jackson,9,48
527,Kanye West,9,71
528,Miguel Bosé,9,14
529,Fréhel,9,15
530,Bert Kaempfert,9,50
531,Commodores,9,36
532,The Alan Parsons Project,9,71
533,Bobby Bare,9,31
534,Tori Amos,8,37
535,John Lennon,8,85
536,Stan Kenton,8,61
537,Joe Diffie,8,19
538,Mandy Moore,8,12
539,J.J. Cale,8,51
540,"Doris Day', 'Paul Weston And His Orchestra",8,33
541,Zohrabai Ambalawali,8,47
542,Marco Antonio Solís,8,24
543,Beyoncé,8,44
544,George Winston,8,55
545,"Geeta Dutt', 'Mohammed Rafi",8,13
546,"""Anita O'Day""",8,58
547,Counting Crows,8,32
548,Shakira,8,41
549,Bobby Vee,8,33
550,Deftones,8,43
551,The Avett Brothers,8,17
552,Morrissey,8,32
553,Mel McDaniel,8,15
554,Everything But The Girl,8,16
555,Gregory Isaacs,8,25
556,The Andrews Sisters,8,12
557,Outkast,8,56
558,Gene Autry,8,66
559,Yusuf / Cat Stevens,8,72
560,Liberación,8,53
561,Bill Haley & His Comets,8,38
562,Avenged Sevenfold,8,41
563,Boney M.,8,33
564,The Psychedelic Furs,8,30
565,Mac Miller,8,69
566,Keith Jarrett,8,13
567,Misfits,8,73
568,Michael Bublé,8,62
569,CAN,8,31
570,Teresa Teng,8,23
571,Ferry Corsten,8,11
572,Bread,8,91
573,George Thorogood & The Destroyers,8,27
574,Ahmad Jamal,8,75
575,Chris Brown,8,22
576,T. Rex,8,47
577,Chet Atkins,8,47
578,Katy Perry,8,34
579,Alan Menken,8,37
580,Blossom Dearie,8,59
581,Little Richard,8,51
582,Panic! At The Disco,8,59
583,Gipsy Kings,8,18
584,King Crimson,8,64
585,Woody Guthrie,8,27
586,Dire Straits,8,66
587,Donovan,8,84
588,Charlie Rich,8,20
589,Hombres G,8,42
590,Hesen Zîrek,8,37
591,Muse,8,28
592,Brad Paisley,8,21
593,"Bobby ""Blue"" Bland",8,20
594,Faith Hill,8,16
595,Ted Nugent,8,47
596,Paul Desmond,8,31
597,Megadeth,8,80
598,The Monkees,8,88
599,Ben E. King,8,43
600,Sammy Hagar,8,32
601,Too $hort,8,31
602,Wings,8,126
603,Bone Thugs-N-Harmony,8,38
604,Berthe Sylva,8,14
605,Canned Heat,8,35
606,The Notorious B.I.G.,8,66
607,MaRLo,8,14
608,Bhanumathi Ramakrishna,8,18
609,Noor Jehan,8,52
610,NOFX,8,34
611,Connie Francis,8,63
612,Les Baxter,8,74
613,Poco,8,17
614,Casting Crowns,8,12
615,A Day To Remember,8,29
616,Nirvana,8,176
617,Tom Jones,8,30
618,Linkin Park,8,67
619,Mannheim Steamroller,8,50
620,Beck,8,28
621,"Willie Colón', 'Héctor Lavoe",8,20
622,Freddie Hubbard,8,29
623,Banda Cuisillos,8,34
624,Carrie Underwood,8,25
625,Kyau & Albert,8,20
626,Engelbert Humperdinck,8,40
627,Tim Buckley,8,21
628,Mohammed Abdel Wahab,8,40
629,Creedence Clearwater Revival,8,118
630,Ministry,8,29
631,Los Terricolas,8,25
632,Whitesnake,8,28
633,"""The B-52's""",8,47
634,Markos Vamvakaris,8,74
635,"Francisco Canaro', 'Ernesto Fama",8,227
636,The Impressions,8,37
637,Bud Powell,8,73
638,Eddie Kendricks,8,13
639,Godsmack,8,32
640,The Black Keys,8,28
641,The Cars,8,122
642,Triumph,8,22
643,Warren Zevon,8,42
644,Foreigner,8,65
645,Los Rieleros Del Norte,8,17
646,Aphex Twin,8,32
647,The Chordettes,8,43
648,2 LIVE CREW,8,22
649,UFO,8,30
650,Los Tucanes De Tijuana,8,43
651,Weezer,8,42
652,Jefferson Airplane,8,63
653,Vanessa Williams,8,11
654,Jefferson Starship,8,18
655,"""Sergio Mendes & Brasil '66""",8,42
656,Lady Gaga,8,38
657,Tito Rodriguez,8,23
658,Lady A,8,14
659,Ray Stevens,8,9
660,Tito Rojas,8,24
661,Luke Bryan,8,31
662,Stonewall Jackson,8,19
663,Martha Reeves & The Vandellas,8,27
664,"Kishore Kumar', 'Asha Bhosle",8,11
665,Rainbow,8,37
666,Anne Murray,8,24
667,Backstreet Boys,8,33
668,Dr. Hook,8,42
669,Dave Grusin,8,16
670,The Manhattans,8,21
671,"Peter, Paul and Mary",8,71
672,"Frédéric Chopin', 'Vladimir Horowitz",8,177
673,"""Los Yonic's""",8,23
674,Ween,8,48
675,Sublime,8,103
676,Sade,8,62
677,Chris Rea,8,15
678,Jimi Hendrix,8,101
679,Los Angeles Negros,8,18
680,Mary Wells,8,36
681,Hameeda Bano,8,23
682,Mary J. Blige,8,35
683,The Smashing Pumpkins,8,74
684,"Grover Washington, Jr.",8,31
685,BTS,8,59
686,Simple Minds,8,22
687,The Damned,8,33
688,W&W,8,12
689,Vern Gosdin,8,15
690,"John Williams', 'London Symphony Orchestra",8,88
691,"Crosby, Stills, Nash & Young",8,54
692,Fred Gouin,8,9
693,311,8,37
694,Sheryl Crow,8,22
695,Mongo Santamaria,8,17
696,Celia Cruz,8,11
697,Thomas Newman,8,24
698,The Bellamy Brothers,8,17
699,Juan Luis Guerra 4.40,8,29
700,Indigo Girls,8,31
701,Primus,8,47
702,Sia,8,20
703,Rigo Tovar,8,23
704,The Whispers,8,34
705,Percy Sledge,8,31
706,Erasure,7,24
707,Little Big Town,7,9
708,Los Traileros Del Norte,7,16
709,Sufjan Stevens,7,15
710,Traffic,7,43
711,Berlin,7,12
712,The Police,7,60
713,"Sergei Rachmaninoff', 'Vladimir Horowitz",7,14
714,The Pogues,7,70
715,N.W.A.,7,53
716,"Les Paul', 'Mary Ford",7,51
717,Jorn Van Deynhoven,7,9
718,Antony Santos,7,19
719,Jamiroquai,7,23
720,Grupo Mandingo,7,12
721,Faye Wong,7,15
722,Rick James,7,41
723,Neil Sedaka,7,32
724,Squeeze,7,23
725,Bobby Valentin,7,16
726,Pankaj Mullick,7,32
727,Los Reyes Locos,7,11
728,Ellie Goulding,7,18
729,Five For Fighting,7,9
730,Montgomery Gentry,7,21
731,Nicki Minaj,7,20
732,Danny Kaye,7,31
733,Pennywise,7,15
734,Theory of a Deadman,7,13
735,Boney James,7,13
736,Suicidal Tendencies,7,38
737,INXS,7,36
738,Heatbeat,7,11
739,Imagine Dragons,7,30
740,Diamond Rio,7,25
741,Danny Berrios,7,11
742,Florida Georgia Line,7,34
743,Kylie Minogue,7,9
744,Twisted Sister,7,40
745,Miles Davis Quintet,7,81
746,Stan Kenton & His Orchestra,7,28
747,Foghat,7,15
748,Aaron Tippin,7,10
749,Tennessee Ernie Ford,7,59
750,Accept,7,22
751,Enrique Iglesias,7,24
752,Joe Dassin,7,16
753,Jeff Beck,7,32
754,Los Toros Band,7,9
755,Jikki,7,17
756,James Horner,7,21
757,George Duke,7,14
758,Ariana Grande,7,58
759,Pete Townshend,7,18
760,"""Lightnin' Hopkins""",7,23
761,The Goo Goo Dolls,7,19
762,Pet Shop Boys,7,33
763,Patti Austin,7,8
764,Run–D.M.C.,7,36
765,"Francisco Canaro', 'Alberto Arenas",7,27
766,Django Reinhardt,7,41
767,Iron & Wine,7,13
768,The Clash,7,123
769,Toots & The Maytals,7,30
770,El Palomo Y El Gorrion,7,14
771,Cannonball Adderley,7,49
772,"""Manfred Mann's Earth Band""",7,10
773,Hot Chocolate,7,11
774,Tesla,7,29
775,Aventura,7,39
776,Martina McBride,7,10
777,Grand Funk Railroad,7,23
778,Tony! Toni! Toné!,7,14
779,"Giuseppe Verdi', 'Arturo Toscanini",7,141
780,Grant Green,7,38
781,Avicii,7,17
782,Rita Abatzi,7,23
783,Loverboy,7,23
784,Brian McKnight,7,16
785,John Martyn,7,17
786,Pedro Infante,7,18
787,My Chemical Romance,7,52
788,New Edition,7,31
789,Lil Wayne,7,25
790,Al Jarreau,7,24
791,Vic Damone,7,22
792,Johnny Hodges,7,15
793,"Ludwig van Beethoven', 'Arturo Toscanini",7,70
794,Erroll Garner,7,99
795,Giuseppe Ottaviani,7,22
796,Art Farmer,7,30
797,John Michael Montgomery,7,14
798,Chris Isaak,7,25
799,Chris Tomlin,7,8
800,El Coyote Y Su Banda Tierra Santa,7,18
801,Sawyer Brown,7,10
802,Kalyani,7,18
803,Cyndi Lauper,7,31
804,Sparks,7,17
805,Rick Springfield,7,18
806,Edwin Yearwood,7,13
807,John Hiatt,7,14
808,Pixies,7,60
809,Rickie Lee Jones,7,19
810,Tracy Lawrence,7,18
811,George Michael,7,38
812,Sam & Dave,7,24
813,Hillsong Worship,7,11
814,Ricardo Montaner,7,20
815,Peter Gabriel,7,58
816,Κώστας Ρούκουνας,7,16
817,Beto Quintanilla,7,13
818,Spandau Ballet,7,13
819,The Osmonds,7,9
820,Dinah Shore,7,12
821,Fred Astaire,7,60
822,The Strokes,7,35
823,Mike & The Mechanics,7,10
824,Y&T,7,12
825,Alejandra Guzman,7,17
826,Roger Miller,7,24
827,Helen Reddy,7,25
828,South Park Mexican,7,42
829,Babyface,7,21
830,Solomon Burke,7,35
831,The Stranglers,7,16
832,Yusef Lateef,7,23
833,Vince Guaraldi Trio,7,77
834,Chittoor V. Nagaiah,7,39
835,June Christy,7,34
836,The Velvet Underground,7,72
837,"Francisco Canaro', 'Roberto Maida",7,171
838,Billy Squier,7,25
839,Los Inquietos Del Norte,7,13
840,Kendrick Lamar,7,42
841,Billy Currington,7,16
842,Breaking Benjamin,7,49
843,Anthrax,7,41
844,AFI,7,17
845,Butthole Surfers,7,12
846,Shanta Apte,7,27
847,Joaquín Sabina,7,10
848,Beegie Adair,7,13
849,Dr. John,7,34
850,The Manhattan Transfer,7,18
851,Def Leppard,7,92
852,"Doris Day', 'Paul Weston And His Orchestra', 'The Norman Luboff Choir",7,30
853,Trey Songz,7,13
854,Sepultura,7,22
855,The Kingston Trio,7,71
856,Steve Winwood,7,22
857,Maynard Ferguson,7,13
858,No Doubt,7,36
859,Nazareth,7,22
860,Mecano,7,32
861,John Barry,7,51
862,Chaka Khan,7,21
863,A Flock Of Seagulls,7,19
864,"Maze', 'Frankie Beverly",7,27
865,Carmen McRae,7,53
866,TLC,7,26
867,P. Leela,7,13
