,artists,years of career,song count
16991,Seikos & Join Forces,1,1
16992,Seiko Matsuda,1,1
16993,Seiji,1,1
16994,Seger Ellis,1,1
16995,Seema Trivedi,1,1
16996,"Seekae', 'Flume",1,1
16997,Seduction,1,4
16998,Sebastian Brandt,1,1
16999,Seaweed,1,1
17000,"Separ', 'DJ Wich",1,1
17001,Scott Johnson,1,1
17002,Scrilla,1,1
17003,"Screwston', 'Skrilla', 'Coast",1,1
17004,"Screwston', 'Lil Bing', 'Lil Villian', 'Big C', 'Lord Loco",1,1
17005,"Screwston', 'Big Flake', 'Lil Bing",1,1
17006,Scratch Acid,1,1
17007,Scouting For Girls,1,1
17008,Scoundrels,1,1
17009,Scotty,1,1
17010,"Scotty Boy', 'Lizzie Curious', 'Da Funk Junkies",1,2
17011,"Scotty Boy', 'DJ Vartan', 'Techcrasher",1,2
17012,Scott Wesley Brown,1,2
17013,"Scott Joplin', 'Morten Gunnar Larsen",1,1
17014,"Scott Irby-Ranniar', 'Ensemble - The Lion King', 'Geoff Hoyle', 'Kajuana Shuford",1,1
17015,Scritti Politti,1,4
17016,"Scott Bond', 'Charlie Walker', 'Trouser Enthusiasts",1,2
17017,"Scott Bond', 'Charlie Walker', 'Murica",1,1
17018,"Scott Barnhardt', 'Justin Bohon', 'Jason Michael Snow', 'Kevin Duda', 'Josh Gad', 'Brian Sears', ""Rory O'Malley"", 'Andrew Rannells', 'Benjamin Schrader', 'Clark Johnsen",1,1
17019,Scot Project,1,1
17020,"Scorz', 'Diana Leah",1,2
17021,Scoop,1,1
17022,Scoobie Do,1,18
17023,Schooner Fare,1,1
17024,Schoolly D,1,1
17025,Schoolgirl Byebye,1,9
17026,School Of Fish,1,1
17027,"Schlachthofbronx', 'Spoek Mathambo', 'Gnucci",1,1
17028,Scripture Lullabies,1,1
17029,Scuba,1,8
17030,Search Boys,1,1
17031,Sean McGonigal,1,1
17032,Search & Destroy,1,2
17033,"Sean Tyas', 'Logistic",1,2
17034,"Sean Tyas', 'John Askew",1,1
17035,"Sean Tyas', 'James Kitcher', 'Adam Taylor', 'David Elston",1,1
17036,Sean Stemaly,1,1
17037,Sean Random,1,1
17038,"Sean Paul', 'Sasha', 'Jeremy Harding', 'Murray Elias",1,1
17039,"Sean Paul', 'Keyshia Cole",1,1
17040,"Sean Paul', 'Dua Lipa",1,1
17041,"Sean Paul', 'Beyoncé",1,1
17042,Sean Patton,1,1
17043,Sean P. Rogan,1,4
17044,"Sean Kingston', 'Nicki Minaj",1,1
17045,Scuttlebuggs,1,1
17046,"Sean Kingston', 'Chris Brown', 'Wiz Khalifa",1,1
17047,Sean Harkness,1,1
17048,Sean David,1,1
17049,"Sean Dagher', 'Nils Brown', 'Michiel Schrey",1,2
17050,"Sean Dagher', 'Michiel Schrey', 'Nils Brown",1,1
17051,"Sean Dagher', 'Clayton Kennedy', 'Nils Brown",1,1
17052,Sean & Xander,1,1
17053,"Seamus Haji', 'KayJay",1,1
17054,Seamus Ennis,1,1
17055,Seamless,1,1
17056,Seafret,1,2
17057,Sea Level,1,2
17058,Seon,1,1
17059,Separate Minds,1,1
17060,Schandmaul,1,2
17061,Sergio Denis,1,1
17062,"Seth MacFarlane', 'Norah Jones",1,1
17063,"Set Mo', 'Fractures', 'Moods",1,1
17064,"Set It Off', 'Ash Costello",1,1
17065,Sestrumer,1,10
17066,Servando & Florentino,1,1
17067,Serj Tankian,1,1
17068,Sergio Space,1,1
17069,"Sergio Rincon', 'Lashia",1,1
17070,Sergio Marini & Luke,1,3
17071,Sergio Franchi,1,1
17072,Sergio Facheli,1,2
17073,Sergio Endrigo,1,1
17074,Sergio Dalma,1,1
17075,Seven Days,1,1
17076,Sergio Ballester,1,1
17077,Sergey Rubin,1,2
17078,Sergey Nevone,1,1
17079,Sergey Lemar,1,1
17080,"Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra",1,2
17081,"Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra",1,4
17082,"Sergei Rachmaninoff', 'William Kapell",1,1
17083,"Sergei Rachmaninoff', 'William Kapell', 'William Steinberg",1,5
17084,"Sergei Rachmaninoff', 'William Kapell', 'Sir Bernard Heinze",1,1
17085,"Sergei Rachmaninoff', 'William Kapell', 'Fritz Reiner",1,36
17086,"Sergei Rachmaninoff', 'William Kapell', 'Edmund Kurtz",1,8
17087,"Sergei Rachmaninoff', 'Vladimir Mostovoy', 'St.Petersburg Chamber Choir', 'Nikolai Korniev",1,1
17088,Sevag,1,1
17089,"Seven Lions', 'ILLENIUM', 'Said the Sky', 'HALIENE",1,1
17090,"Sergei Rachmaninoff', 'Valentina Lisitsa', 'London Symphony Orchestra', 'Michael Francis",1,1
17091,Sex Gang Children,1,1
17092,"Shabba Ranks', 'Maxi Priest",1,1
17093,"Shabba Ranks', 'Johnny Gill",1,1
17094,"Shabba Ranks', 'Chevelle Franklin",1,1
17095,"Shabba Ranks', 'Chevelle Franklin', 'David Morales', 'Hugo Dwyer",1,1
17096,Sgt. Barry Sadler,1,11
17097,"Sfera Ebbasta', 'J Balvin",1,1
17098,Seán Ó Riada,1,1
17099,Sezer Uysal,1,1
17100,Seyyan ve Feyza Hanımlar,1,2
17101,Seyed Ali Asghar Kurdistani,1,10
17102,Sexteto Santa Cecilia,1,2
17103,Sex Music Zone,1,1
17104,Sex Bob-Omb,1,3
17105,"Seven Lions', 'Jason Ross', 'Paul Meany",1,2
17106,Seweryn Goszczyński,1,76
17107,"Sevyn Streeter', 'Chris Brown",1,1
17108,"Severin Borer', 'Felipe Puertes', 'Boy Next Door",1,1
17109,Seventeen Years,1,6
17110,"Seven24', 'Soty",1,1
17111,Seven Sense,1,2
17112,Seven Nations,1,1
17113,Seven Miles South,1,1
17114,Seven Mary Three,1,3
17115,"Seven Lions', 'Tritonal', 'Kill The Noise', 'HALIENE",1,1
17116,"Seven Lions', 'Rico & Miella', 'Myon",1,1
17117,"Seven Lions', 'Myon', 'Shane 54', 'Tove Lo",1,1
17118,"Sergei Rachmaninoff', 'Vladimir Horowitz', 'New York Philharmonic', 'Eugene Ormandy",1,6
17119,"Sergei Rachmaninoff', 'Sigi Weissenberg",1,2
17120,Sephali Chakraborty,1,1
17121,"Sergei Prokofiev', 'André Cluytens', 'Samson François', 'Orchestre De La Société Des Concerts Du Conservatoire",1,2
17122,"Sergei Prokofiev', 'Leonard Bernstein', 'New York Philharmonic",1,1
17123,"Sergei Prokofiev', 'Jascha Heifetz', 'Serge Koussevitzky",1,2
17124,"Sergei Prokofiev', 'Jascha Heifetz', 'Concert Hall Orchestra', 'Unknown Artist",1,1
17125,"Sergei Prokofiev', 'Jascha Heifetz', 'Charles Münch', 'Boston Symphony Orchestra",1,3
17126,"Sergei Prokofiev', 'Isaac Stern', 'Zubin Mehta', 'New York Philharmonic",1,1
17127,"Sergei Prokofiev', 'Isaac Stern', 'Leonard Bernstein', 'New York Philharmonic",1,6
17128,"Sergei Prokofiev', 'Isaac Stern', 'Dimitri Mitropoulos', 'New York Philharmonic",1,3
17129,"Sergei Prokofiev', 'Gérard Philipe', ""Orchestre Symphonique De l'U.R.S.S"", 'Guennadi Rojdestvenski",1,1
17130,"Sergei Prokofiev', 'Fritz Reiner",1,1
17131,"Sergei Prokofiev', 'Eugene Ormandy', 'Philadelphia Orchestra",1,13
17132,"Sergei Prokofiev', 'Esa-Pekka Salonen",1,2
17133,"Sergei Prokofiev', 'Cleveland Orchestra', 'Lorin Maazel",1,1
17134,Sergei Glagolev,1,1
17135,"Sergei Prokofiev', 'Royal Scottish National Orchestra', 'Neeme Järvi",1,2
17136,Serge Ponsar,1,2
17137,Serge Lama,1,1
17138,Serge Chaloff,1,3
17139,Serenata Guayanesa,1,1
17140,Serena Isioma,1,1
17141,Seraphine,1,1
17142,Serani,1,1
17143,Serafeim Gerotheodoroy,1,3
17144,Sequentia,1,1
17145,"Sequentia', 'Daniel Garrick",1,8
17146,Septeto Nacional,1,1
17147,Septeto Nacional De Ignacio Pineiro,1,1
17148,"Sergei Prokofiev', 'Oscar Levant",1,1
17149,"Sergei Prokofiev', 'Samson François",1,1
17150,"Sergei Rachmaninoff', 'Ruth Laredo",1,6
17151,"Sergei Rachmaninoff', 'Idil Biret",1,1
17152,"Sergei Rachmaninoff', 'Russian State Symphony Orchestra', 'Valery Polyansky",1,1
17153,"Sergei Rachmaninoff', 'Oscar Levant",1,4
17154,"Sergei Rachmaninoff', 'Nikolaj Znaider",1,1
17155,"Sergei Rachmaninoff', 'Moura Lympany",1,24
17156,"Sergei Rachmaninoff', 'Mischa Maisky', 'Pavel Gililov",1,1
17157,"Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra",1,2
17158,"Sergei Rachmaninoff', 'Mariss Jansons', 'St. Petersburg Philharmonic Orchestra",1,1
17159,"Sergei Rachmaninoff', 'Marc Coppey', 'Peter Laul",1,1
17160,"Sergei Rachmaninoff', 'Lynn Harrell', 'Vladimir Ashkenazy",1,1
17161,"Sergei Rachmaninoff', 'Leopold Stokowski",1,3
17162,"Sergei Rachmaninoff', 'János Starker",1,2
17163,"Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker",1,2
17164,"Sergei Rachmaninoff', 'Fritz Reiner', 'Byron Janis",1,2
17165,"Sergei Prokofiev', 'Sigi Weissenberg",1,1
17166,"Sergei Rachmaninoff', 'Emanuel Ax', 'Yefim Bronfman",1,2
17167,"Sergei Rachmaninoff', 'Earl Wild', 'Royal Philharmonic Orchestra', 'Jascha Horenstein",1,4
17168,"Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin",1,1
17169,"Sergei Rachmaninoff', 'Berliner Philharmoniker', 'Lorin Maazel",1,1
17170,"Sergei Rachmaninoff', 'Arthur Rubinstein', 'Vladimir Golschmann",1,1
17171,"Sergei Rachmaninoff', 'Arthur Rubinstein', 'Vladimir Golschmann', 'NBC Symphony Orchestra",1,1
17172,"Sergei Prokofiev', 'William Kapell",1,2
17173,"Sergei Prokofiev', 'William Kapell', 'Antal Doráti",1,16
17174,"Sergei Prokofiev', 'Wiener Philharmoniker', 'Dimitri Mitropoulos",1,2
17175,"Sergei Prokofiev', 'Vladimir Horowitz",1,8
17176,"Sergei Prokofiev', 'The Oxford Choir",1,1
17177,"Sergei Prokofiev', 'Slovak Radio Symphony Orchestra', 'Ondrej Lenard",1,1
17178,"Schelmanoff', 'Yuriy Bondarchuk",1,1
17179,"Scatman Crothers', 'Phil Harris', 'Thurl Ravenscroft', 'Liz English",1,1
17180,Sailen Das,1,1
17181,Samantha Bumgarner,1,1
17182,Sammy Adams,1,1
17183,"Sammie', 'JT Money",1,1
17184,Sammi Smith,1,1
17185,Sammi Cheng,1,1
17186,Samira Said,1,1
17187,"Samim', 'Diplo",1,1
17188,Samiam,1,1
17189,"Same Levene', 'Stubby Kaye', 'Johnny Silver",1,1
17190,Samaresh Roy,1,1
17191,"Samantha Sang', 'Bee Gees",1,1
17192,Samantha Mumba,1,1
17193,Samantha Fox,1,2
17194,Samael,1,2
17195,"Sammy Davis Jr.', 'The Original Broadway Cast Of Golden Boy",1,2
17196,SamX 2012,1,1
17197,SamNSK,1,1
17198,Sam97,1,4
17199,"Sam and Modesto Garcia', 'James Trujillo",1,1
17200,"Sam Walker', 'The Groove Guys",1,4
17201,Sam Tinnesz,1,1
17202,"Sam Tinnesz', 'Yacht Money",1,1
17203,Sam Spence,1,4
17204,"Sam Smith', 'Normani",1,1
17205,"Sam Smith', 'John Legend",1,1
17206,"Sam Smith', 'Demi Lovato",1,1
17207,Sam Ross,1,2
17208,"Sammy Davis Jr.', 'Carmen McRae",1,6
17209,Sammy Johns,1,1
17210,Sam Paganini,1,2
17211,"Samuel Barber', 'The Choir Of Trinity College, Cambridge', 'Richard Marlow",1,1
17212,San Soda,1,1
17213,San Sebastian,1,1
17214,"San Sebastian', 'Stanford",1,1
17215,"San Sebastian', 'Miguel Llobet Solés', 'María Luisa Anido",1,1
17216,"San Sebastian', 'Emiel Roche",1,1
17217,"Samuel Hernández', 'Funky",1,1
17218,"Samuel E. Wright', 'Ensemble - The Lion King",1,1
17219,"Samuel Coleridge-Taylor', 'Royal Liverpool Philharmonic Orchestra', 'Grant Llewellyn",1,1
17220,Samuel Barber,1,1
17221,"Samuel Barber', 'William Strickland', 'Dumbarton Oaks Chamber Orchestra",1,1
17222,"Samuel Barber', 'Tokyo String Quartet",1,3
17223,"Samuel Barber', 'Thomas Schippers', 'New York Philharmonic",1,3
17224,"Samuel Barber', 'Sir Simon Rattle', 'Berliner Philharmoniker",1,1
17225,"Sammy Johnson', 'Fiji",1,1
17226,"Samuel Barber', 'Philadelphia Orchestra', 'Eugene Ormandy",1,1
17227,"Samuel Barber', 'Marilyn Horne",1,2
17228,"Samuel Barber', 'Leontyne Price', 'Thomas Schippers', 'New Philharmonia Orchestra",1,3
17229,"Samuel Barber', 'Leonard Slatkin', 'St. Louis Symphony",1,4
17230,"Samuel Barber', 'James Agee', 'Eleanor Steber', 'William Strickland', 'Dumbarton Oaks Festival Orchestra",1,1
17231,"Samuel Barber', 'Frederica von Stade', 'James Conlon', 'Metropolitan Opera Orchestra",1,1
17232,"Samuel Barber', 'Dietrich Fischer-Dieskau",1,1
17233,"Samuel Barber', 'Academy of St. Martin in the Fields', 'Sir Neville Marriner",1,1
17234,Samson,1,1
17235,Sample Rain Library,1,1
17236,"Sammy Lewis', 'Willie Johnson",1,1
17237,"Sammy Juice', 'Moto', 'R.U.I.', 'Sebastian Gnewkow",1,1
17238,Sam Rivers,1,5
17239,"Sam Moore', 'Conway Twitty",1,1
17240,"Sandi Patty', 'Wayne Watson",1,1
17241,"Saleem Raza', 'Kousar Parveen",1,1
17242,Sally Yeh,1,4
17243,"Sally Yeh', '陳秀男', 'Ye Chui Qing",1,1
17244,"Sally Yeh', 'George Lam', '陳秀男', 'Eric Chen', 'Zhang Yong Fu",1,1
17245,"Sally Yeh', 'David Ling",1,1
17246,"Sally Yeh', 'David Ling Jr', 'Philip Kok', 'Tom Brown",1,1
17247,"Sally Yeh', 'Chen Xiu Nan', 'Ye Chui Qing', 'Zhang Yong Fu",1,1
17248,Sally Sweetland,1,1
17249,Sally Harmon,1,3
17250,Salim Sekhawas,1,1
17251,"Salim Raza', 'Nasim Begum",1,1
17252,"Salim Raza', 'Kausar Parveen",1,1
17253,Salif Keita,1,1
17254,Sal Salvador Quintet,1,2
17255,Salmonella Dub,1,1
17256,Sakis Pippidis,1,2
17257,"Sakal', 'Lata Mangeshkar",1,1
17258,Sajjad Hussain,1,1
17259,Sajanega,1,1
17260,Saint Vitus,1,2
17261,Saint Tropez Radio Lounge Chillout Music Club,1,1
17262,Saint Privat,1,1
17263,Saint Granier,1,1
17264,Saint Etienne,1,3
17265,"Saint B Baby', 'The Garage Allstars', 'Oscar The Professor Remix",1,1
17266,"Sailesh', 'Mukesh",1,1
17267,Sailesh Mukherjee,1,2
17268,Salma Agha,1,1
17269,Salon Victoria,1,1
17270,Sam Lynch,1,1
17271,Sam Ball,1,2
17272,Sam Lanin & His Famous Players & Singers,1,1
17273,Sam Lambeth,1,4
17274,Sam Kinison,1,1
17275,"Sam Hui', 'Leslie Cheung",1,1
17276,"Sam Glaser', 'Rebbesoul",1,1
17277,Sam Fischer,1,1
17278,"Sam Feldt', 'RANI",1,2
17279,"Sam Feldt', 'Kimberly Anne', 'EDX",1,1
17280,Sam Elliott,1,1
17281,"Sam Durham', 'Ashia Llorente",1,1
17282,Sam Butera & The Witnesses,1,1
17283,"Sam Brown', 'Pete Brown",1,1
17284,Sam & Bill,1,1
17285,Salsa Kids,1,1
17286,"Salvatore Gambardella', 'Sergio Franchi', 'Wally Stott",1,1
17287,"Salvatore Cardillo', 'Sergio Franchi', 'Wally Stott",1,1
17288,"Salvatore Cardillo', 'Mario Lanza', 'Constantine Callinicos",1,1
17289,Salvatore Abbate,1,2
17290,"Saltwater', 'ReOrder",1,2
17291,Saltoy Maria,1,10
17292,Saltaux,1,2
17293,Saltatio Mortis,1,1
17294,"Salt-N-Pepa', 'Spinderella",1,1
17295,"Salt-N-Pepa', 'En Vogue",1,2
17296,Salt Sea Pirates,1,1
17297,Salserin,1,1
17298,"Sandi Patty', 'Larnelle Harris",1,1
17299,Sandoval,1,1
17300,Scarlxrd,1,1
17301,Satanic Ritual Abuse,1,1
17302,Satyajit Ray,1,1
17303,"Satyajeet Pradhan', 'Asima Panda', 'R. S. Kumar",1,4
17304,"Satya Chowdhury', 'Jatadhar Pyne",1,1
17305,Sattar,1,1
17306,"Satish', 'Leela Sawant",1,1
17307,"Satish', 'Jyoti",1,1
17308,Satish Bhatia,1,1
17309,Satinath Mukherjee,1,20
17310,Sati Devi,1,1
17311,Satchel Blue,1,14
17312,Satanic Togas,1,1
17313,Satanic Soul,1,1
17314,Satan Hussein,1,1
17315,"Savage', 'Angel Dust', 'Baby Bash",1,1
17316,"Sassydee', 'Keziah Powell",1,1
17317,Sasha Ray,1,1
17318,Sash!,1,1
17319,"Sash!', 'Future Breeze",1,1
17320,"Sascha Sonido', 'Bombilla",1,1
17321,"Saroj', 'Agha",1,1
17322,Saroj Gundani,1,1
17323,"Saroj Borkar', 'Mumtaz Ali",1,1
17324,Sarla,1,2
17325,"Sarita Devi', 'Sardar Mansoor', 'Madhavlal Damodar Master",1,1
17326,"Sarita Devi', 'Master Mohammad",1,2
17327,Sardool Sikander,1,1
17328,Saul Berman,1,2
17329,"Savage', 'Soulja Boy",1,1
17330,"Sardar Akhtar', 'H Khan Mastana",1,1
17331,"Sayla', 'Arizona', 'Passiva",1,1
17332,"Scarface', 'Johnny P', '2Pac",1,1
17333,"Scarface', 'JAY-Z', 'Beanie Sigel",1,1
17334,"Scarface', 'Devin The Dude', 'Tela', 'Too $hort",1,1
17335,Scarecrow,1,1
17336,Scapegoat Wax,1,1
17337,Scandal,1,2
17338,ScHoolboy Q,1,3
17339,"ScHoolboy Q', 'Kanye West",1,1
17340,"ScHoolboy Q', 'BJ The Chicago Kid",1,1
17341,"ScHoolboy Q', 'A$AP Rocky",1,2
17342,"ScHoolboy Q', '21 Savage",1,1
17343,"ScHoolboy Q', '2 Chainz', 'Saudi",1,1
17344,Sayed Mekawy,1,1
17345,"Savannah', 'Roger Shah",1,1
17346,Say Anything,1,4
17347,"Saxon', 'Nigel Thomas",1,1
17348,Sax Man Mike Clark,1,10
17349,"Saweetie', 'Post Malone', 'DaBaby', 'Jack Harlow",1,1
17350,"Saweetie', 'Jhené Aiko",1,1
17351,"Saweetie', 'Jhené Aiko', 'City Girls",1,1
17352,"Saweetie', 'Doja Cat",1,1
17353,"Savy', 'Priscilla Sani",1,1
17354,Savita Devi,1,2
17355,"Savi', 'Bryce Fox",1,1
17356,Save Ferris,1,2
17357,"Savaris', 'Milieris', 'Lousien",1,1
17358,Sardar Malik,1,2
17359,Sarcastic Sounds,1,1
17360,Sandra De Sá,1,1
17361,Sanjay Oza,1,2
17362,"Santana', 'Musiq Soulchild",1,1
17363,"Santana', 'Ms. Lauryn Hill', 'CeeLo Green",1,1
17364,"Ludwig van Beethoven', 'Arthur Rubinstein', 'Josef Krips', 'Symphony Of The Air",1,2
17365,"Santana', 'Maná",1,2
17366,"Santana', 'Everlast",1,1
17367,"Santana', 'Eric Clapton",1,1
17368,"Santana', 'Dave Matthews', 'Carter Beauford",1,1
17369,"Santana', 'Citizen Cope",1,1
17370,Santa Esmeralda,1,1
17371,Santa Claus Sisters,1,1
17372,Santa Apte,1,1
17373,Sanna Sikborn Erixon,1,1
17374,Sanford Townsend Band,1,1
17375,"Santana', 'The Product G&B",1,2
17376,Sanford Clark,1,1
17377,Sanek,1,1
17378,Sandy Reyes,1,2
17379,Sandy Lam,1,1
17380,"Sandy Lam', 'Wong Kei Wah",1,1
17381,"Sandy Duncan, Howard McGillin, Liz Callaway, Dakin Matthews, Adam Wylie, J.D. Daniels, Lex de Azevedo, David Zippel",1,1
17382,Sandy Denny,1,2
17383,Sandy Campbell Merritt,1,1
17384,Sandy Bull,1,1
17385,Sandy & Papo,1,2
17386,"Sandro Mireno', 'Paul Pollux",1,1
17387,"Sandro Mireno', 'Alaera",1,1
17388,"Santana', 'Seal",1,1
17389,Santanu Roychowdhury,1,1
17390,Sarbjit Cheema,1,1
17391,Sarah Flickertz,1,1
17392,Saraya,1,1
17393,"Saraswati Rane', 'G. M. Durrani",1,1
17394,Saraswati Devi,1,1
17395,"Sarah Vaughan', 'Richard Heyman Orchestra",1,1
17396,"Sarah Vaughan', 'Percy Faith & His Orchestra",1,1
17397,"Sarah Vaughan', 'Oscar Peterson', 'Joe Pass', 'Louis Bellson', 'Ray Brown",1,1
17398,"Sarah Vaughan', 'George Treadwell & His All-Stars",1,1
17399,"Sarah Vaughan', 'Billy Eckstine",1,1
17400,"Sarah Shook & the Disarmers', 'Jam in the Van",1,1
17401,"Sarah McLachlan', 'Diana Krall",1,1
17402,Sarah Martin,1,1
17403,Sarah Geremia,1,1
17404,Sarah Cleaver,1,1
17405,"Santha Kumari', 'Raavu Balasaraswathi",1,1
17406,Sarah Brown,1,1
17407,Sara,1,1
17408,Sara Montiel,1,1
17409,Sara Kays,1,1
17410,Sara Gee & Ramblin Matt,1,1
17411,"Sara Bareilles', 'Ingrid Michaelson",1,1
17412,Santos Colón,1,1
17413,"Santos Colón', 'Tito Puente",1,1
17414,Santiago Cruz,1,1
17415,Santi Miro,1,1
17416,"Santi Miro', 'Stephan Barnem Techno Plus",1,1
17417,Santha Kumari,1,1
17418,"Rodrigo Deem', 'Las Salinas', 'Emily Harder",1,1
17419,"Rodolfo Aicardi', 'Los Liricos",1,1
17420,The Brady Bunch,1,3
17421,"Rex Harrison', 'Julie Andrews', 'Robert Coote', 'Rosemary Gaines', ""Colleen O'Connor"", 'Muriel Shaw', 'Gloria van Dorpe', 'Glenn Kezer",1,1
17422,Rhapsodia,1,1
17423,"Rezone', 'Afroboogie",1,1
17424,Rezident,1,1
17425,"Reza', 'Daisy Dela",1,1
17426,"Reynaldo Hahn', 'Jacques Jansen', 'Jacqueline Bonneau",1,4
17427,"Reynaldo Hahn', 'Bidu Sayão', 'Paul Breisach', 'Columbia Concert Orchestra",1,1
17428,Reynaldo Armas,1,1
17429,Reyli Barba,1,3
17430,Rey Ruiz,1,9
17431,Rex Smith,1,6
17432,"Rex Orange County', 'Benny Sings",1,1
17433,"Rex Mundi', 'Susana",1,1
17434,Rewa Shankar,1,2
17435,Rhino Bucket,1,2
17436,"Rewa Shankar', 'Chitalkar",1,1
17437,Revolver Cannabis,1,1
17438,Revis,1,1
17439,Revero,1,1
17440,"Reverend John Henry Hopkins Jr.', 'Leontyne Price', 'Wiener Singverein', 'Wiener Grosstadtkinderchor', 'Wiener Philharmoniker', 'Herbert von Karajan",1,1
17441,Reverend J.M. Gates,1,17
17442,Reverend And The Makers,1,2
17443,Revenant,1,1
17444,Revaluation,1,53
17445,Rev. Jay Kool,1,12
17446,Rev. Gary Davis,1,2
17447,Rev. F.C. Barnes,1,1
17448,Rhapsody,1,1
17449,Rhye,1,2
17450,Rev Theory,1,1
17451,"Ricardo Ray', 'Bobby Cruz",1,1
17452,RichaadEB,1,1
17453,Rich The Kid,1,1
17454,"Rich The Kid', 'Kendrick Lamar",1,1
17455,"Rich Gang', 'Young Thug', 'Rich Homie Quan",1,1
17456,"Rich Gang', 'Lil Wayne', 'Birdman', 'Mack Maine', 'Nicki Minaj', 'Future",1,1
17457,Rich Brian,1,1
17458,"Rich Brian', 'Keith Ape', 'XXXTENTACION",1,1
17459,"Rich Boy', 'Polow Da Don",1,1
17460,"Rich Boy', 'André 3000', 'Jim Jones', 'Nelly', 'Murphy Lee', 'The Game",1,1
17461,Ricchi E Poveri,1,1
17462,"Riccardo Zandonai', 'Orchestra di Milano della RAI', 'Angelo Questa', 'Ornella Rovere",1,1
17463,Ricardo Rodriguez,1,1
17464,"Ricardo Montaner', 'Evaluna Montaner",1,1
17465,Rhythm Heritage,1,1
17466,Ricardo Monasterio con la Orquesta Casablanca,1,2
17467,"Ricardo Galindo', 'Erika Halliday",1,1
17468,Ricardo Fuentes,1,2
17469,Ricardo Carrion,1,1
17470,"Ricardo Arjona', 'Gaby Moreno",1,1
17471,"Ricardo Arjona', '(Con La Participación de Marc Anthony)",1,1
17472,Ricardo Aguirre,1,1
17473,Ricardo Abelleyra,1,1
17474,Ric Segreto,1,4
17475,Ric Ocasek,1,1
17476,Rhythm Rockerz,1,1
17477,"Rhythm Rockerz', 'Ann Bailey",1,1
17478,Rev. Cleophus Robinson,1,1
17479,Reunion,1,1
17480,"Richard Adler', 'Jerry Ross', 'Carol Haney', 'The Pajama Game Ensemble', 'The Original Broadway Cast Of The Pajama Game', 'Hal Hastings",1,1
17481,"Renan Garcia', 'Orquesta de Alfredo Parra",1,6
17482,"Renos Talmas', 'Panos Visvardis",1,1
17483,Rene y Rene,1,1
17484,Rene del Mar y su Conjunto,1,1
17485,"Rene Shuman', 'Angel-Eye",1,1
17486,"Rene Rodrigezz', 'Sophia May",1,5
17487,"Rene Rodrigezz', 'Sean Finn",1,2
17488,Rene Rene,1,1
17489,Rene Liu,1,1
17490,Renaud,1,1
17491,Renato Zero,1,1
17492,Renato Rascel,1,12
17493,"Renato Rascel', 'Mario Lanza', 'Constantine Callinicos",1,1
17494,"Rena Stamou', 'Stelios Kazantzidis",1,1
17495,"Renuka Devi', 'Ashok Kumar",1,2
17496,"Rena Stamou', 'Prodromos Tsaousakis",1,1
17497,Rena MacLean,1,1
17498,Rena Dallia,1,1
17499,"Rena Dallia', 'Prodromos Tsaousakis",1,1
17500,Ren Jie,1,2
17501,Remy Ma,1,1
17502,"Remy Ma', 'Ne-Yo",1,1
17503,Remixed Factory,1,1
17504,Remix Workout Factory,1,3
17505,Remi Wolf,1,1
17506,"Rell', 'JAY-Z",1,1
17507,Relic Background,1,1
17508,Renu Basu,1,1
17509,"Renuka Devi', 'Masood Parvez",1,2
17510,Reuben Wilson,1,1
17511,Rescue,1,1
17512,Reuben Anderson,1,1
17513,Return To Forever,1,5
17514,"Return To Forever', 'Chick Corea",1,3
17515,Restless,1,1
17516,Restless Soul,1,1
17517,Resting Scary Face,1,1
17518,Restaurant Music Deluxe,1,4
17519,Restaurant Jazz Classics,1,4
17520,Restaurant Background Music Academy,1,1
17521,"Rest & Relaxation', 'Nature Ambience', 'Jazz Cafe Collective",1,1
17522,Reshma,1,1
17523,Reset Robot,1,1
17524,Republica,1,2
17525,Renuka Devi,1,3
17526,Reptile Planet,1,1
17527,Renée Zellweger,1,1
17528,"Renée Zellweger', 'John C. Reilly', 'Colm Feore', 'Taye Diggs",1,1
17529,"Renée Zellweger', 'Catherine Zeta-Jones', 'Taye Diggs",1,1
17530,"Renée Elise Goldsberry', 'Phillipa Soo', 'Jasmine Cephas-Jones', 'Leslie Odom Jr.', 'Original Broadway Cast of Hamilton",1,1
17531,"Renée Elise Goldsberry', 'Original Broadway Cast of Hamilton",1,1
17532,"Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Phillipa Soo', 'Original Broadway Cast of Hamilton",1,1
17533,René Urtreger,1,3
17534,René Paulo,1,1
17535,Renzo Rossellini,1,1
17536,Renz Verano,1,1
17537,Renvo,1,1
17538,"Richard Adler', 'Jerry Ross', 'Carol Haney', 'Peter Gennaro', 'Jim Hutchison', 'The Original Broadway Cast Of The Pajama Game', 'Hal Hastings",1,1
17539,"Richard Adler', 'Jerry Ross', 'Eddie Foy Jr', 'Reta Shaw', 'The Original Broadway Cast Of The Pajama Game', 'Hal Hastings",1,1
17540,Relaxing Piano Music Girl,1,6
